stage,level_low,level_high,expected_xp,expected_currency,failure_xp,replay_xp,upgrade_cost,equipment_chance,boss_rare_chance,new_game_plus_multiplier
1,1,4,520,325,156,364,335,0.192,0.06,1.775
2,2,5,640,400,192,448,440,0.204,0.07,1.8
3,4,7,760,475,228,532,615,0.216,0.08,1.825
4,5,8,880,550,264,616,860,0.228,0.09,1.85
5,7,10,1000,625,300,700,1175,0.24,0.1,1.875
6,8,11,1120,700,336,784,1560,0.252,0.11,1.9
7,10,13,1240,775,372,868,2015,0.264,0.12,1.925
8,11,14,1360,850,408,951,2540,0.276,0.13,1.95
9,13,16,1480,925,444,1036,3135,0.288,0.14,1.975
10,14,17,1600,1000,480,1120,3800,0.3,0.15,2.0
11,16,19,1720,1075,516,1204,4535,0.312,0.16,2.025
12,17,20,1840,1150,552,1288,5340,0.324,0.17,2.05
13,19,22,1960,1225,588,1372,6215,0.336,0.18,2.075
14,20,23,2080,1300,624,1456,7160,0.348,0.19,2.1
15,22,25,2200,1375,660,1540,8175,0.36,0.2,2.125
16,23,26,2320,1450,696,1624,9260,0.372,0.21,2.15
17,25,28,2440,1525,732,1708,10415,0.384,0.22,2.175
18,26,29,2560,1600,768,1792,11640,0.396,0.23,2.2
19,28,31,2680,1675,804,1875,12935,0.408,0.24,2.225
20,29,32,2800,1750,840,1959,14300,0.42,0.25,2.25
21,31,34,2920,1825,876,2043,15735,0.432,0.26,2.275
22,32,35,3040,1900,912,2128,17240,0.444,0.27,2.3
23,34,37,3160,1975,948,2212,18815,0.456,0.28,2.325
24,35,38,3280,2050,984,2296,20460,0.468,0.29,2.35
25,37,40,3400,2125,1020,2380,22175,0.48,0.3,2.375
26,38,41,3520,2200,1056,2464,23960,0.492,0.31,2.4
27,40,43,3640,2275,1092,2548,25815,0.504,0.32,2.425
28,41,44,3760,2350,1128,2632,27740,0.516,0.33,2.45
29,43,46,3880,2425,1164,2716,29735,0.528,0.34,2.475
30,44,47,4000,2500,1200,2800,31800,0.54,0.35,2.5
