level,total_xp,xp_to_next,expected_stage
1,0,100,1
2,100,300,2
3,400,550,3
4,950,820,3
5,1770,1120,4
6,2890,1450,5
7,4340,1800,5
8,6140,2160,6
9,8300,2540,7
10,10840,2950,7
11,13790,3360,8
12,17150,3790,9
13,20940,4240,9
14,25180,4700,10
15,29880,5170,11
16,35050,5650,11
17,40700,6150,12
18,46850,6660,13
19,53510,7170,13
20,60680,7700,14
21,68380,8240,15
22,76620,8790,15
23,85410,9350,16
24,94760,9920,17
25,104680,10500,17
26,115180,11090,18
27,126270,11690,19
28,137960,12290,19
29,150250,12910,20
30,163160,13530,21
31,176690,14160,21
32,190850,14800,22
33,205650,15450,23
34,221100,16110,23
35,237210,16770,24
36,253980,17440,25
37,271420,18120,25
38,289540,18810,26
39,308350,19500,27
40,327850,20200,27
41,348050,20910,28
42,368960,21620,29
43,390580,22340,29
44,412920,23070,30
45,435990,23800,31
46,459790,24540,31
47,484330,25290,32
48,509620,26040,33
49,535660,26800,33
50,562460,27570,34
51,590030,28340,35
52,618370,29120,35
53,647490,29900,36
54,677390,30700,37
55,708090,31490,37
56,739580,32290,38
57,771870,33100,39
58,804970,33920,39
59,838890,34730,40
60,873620,35560,41
61,909180,36390,41
62,945570,37230,42
63,982800,38070,43
64,1020870,38910,43
65,1059780,39770,44
66,1099550,40620,45
67,1140170,41490,45
68,1181660,42350,46
69,1224010,43230,47
70,1267240,44110,47
71,1311350,44990,48
72,1356340,45880,49
73,1402220,46770,49
74,1448990,47670,50
75,1496660,48570,51
76,1545230,49480,51
77,1594710,50390,52
78,1645100,51310,53
79,1696410,52230,53
80,1748640,53160,54
81,1801800,54090,55
82,1855890,55030,55
83,1910920,55970,56
84,1966890,56920,57
85,2023810,57870,57
86,2081680,58820,58
87,2140500,59780,59
88,2200280,60740,59
89,2261020,61710,60
90,2322730,62680,61
91,2385410,63660,61
92,2449070,64640,62
93,2513710,65630,63
94,2579340,66620,63
95,2645960,67610,64
96,2713570,68610,65
97,2782180,69610,65
98,2851790,70620,66
99,2922410,0,67
